Book Title, Book Rating
Anxiety: Panicking about Panic: A Powerful, Self-Help Guide for Those Suffering from an Anxiety or Panic Disorder,4.05 avg rating — 243 ratings
The Holographic Universe,4.17 avg rating — 7,177 ratings
Mars and Venus on a Date: A Guide for Navigating the 5 Stages of Dating to Create a Loving and Lasting Relationship,3.86 avg rating — 2,291 ratings
Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way,3.96 avg rating — 41,372 ratings
Bright Spots & Landmines: The Diabetes Guide I Wish Someone Had Handed Me,4.24 avg rating — 223 ratings
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,4.17 avg rating — 32,998 ratings
Confucius Speaks: Words to Live by,4.09 avg rating — 78 ratings
Skinny Bitch: A No-Nonsense, Tough-Love Guide for Savvy Girls Who Want to Stop Eating Crap and Start Looking Fabulous!,3.35 avg rating — 29,901 ratings
Doctor Who: Short Trips and Side Steps,3.37 avg rating — 84 ratings
Thirteen Reasons Why,3.98 avg rating — 652,559 ratings
MONEY Master the Game: 7 Simple Steps to Financial Freedom,3.95 avg rating — 9,716 ratings
Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,4.27 avg rating — 51,661 ratings
The Quick and Easy Way to Effective Speaking,4.07 avg rating — 4,421 ratings
Anything You Wish: Beyond Limits,4.28 avg rating — 18 ratings
Dale Carnegie's Lifetime Plan for Success: How to Win Friends and Influence People & How to Stop Worrying and Start Living,4.16 avg rating — 1,398 ratings
The Total Money Makeover: A Proven Plan for Financial Fitness,4.29 avg rating — 51,484 ratings
The Portable Nietzsche,4.19 avg rating — 8,275 ratings
The Attractor Factor: 5 Easy Steps for Creating Wealth (or Anything Else) from the Inside Out,3.86 avg rating — 1,306 ratings
Secrets About Men Every Woman Should Know,3.63 avg rating — 812 ratings
Chicken Soup for the Romantic Soul: Inspirational Stories about Love and Romance,3.96 avg rating — 629 ratings
Type 2 Diabetes The Owner's Manual,4.33 avg rating — 46 ratings
Chicken Soup for the Couple's Soul,4.02 avg rating — 1,891 ratings
Chicken Soup for the Pet Lover's Soul,4.11 avg rating — 3,018 ratings
A Chicken Soup for the Soul Christmas,4.12 avg rating — 272 ratings
Chicken Soup for the Dog Lover's Soul: Stories of Canine Companionship, Comedy and Courage,4.20 avg rating — 1,850 ratings
Chicken Soup for the Soul at Work,3.88 avg rating — 618 ratings
Chicken Soup for the Country Soul,4.07 avg rating — 211 ratings
Chicken Soup for the Surviving Soul,4.04 avg rating — 127 ratings
Raise Your Vibration, Transform Your Life: A Practical Guide for Attaining Better Health, Vitality and Inner Peace,4.12 avg rating — 8 ratings
You Are Special,4.80 avg rating — 5 ratings
Inner Skiing: Mastering the Slopes Through Mind/Body Awareness,4.06 avg rating — 105 ratings
Tragic Treasures: Discovering Spoils of War in the Midst of Tragedy,3.82 avg rating — 11 ratings
I Thought It Was Just Me: Women Reclaiming Power and Courage in a Culture of Shame,4.23 avg rating — 10,147 ratings
A Cancer Prevention Guide for the Human Race,4.08 avg rating — 60 ratings
Collabetition: 3 Principles For The Creative Person In All Of Us,4.57 avg rating — 7 ratings
Conquering Your Quarterlife Crisis: Advice from Twentysomethings Who Have Been There and Survived,3.34 avg rating — 297 ratings
Journey with Your Spirit Child,4.67 avg rating — 3 ratings
The White Hindu,4.09 avg rating — 11 ratings
Talk to God with Affirmations of Faith,4.14 avg rating — 29 ratings
So Long, Insecurity: You've Been a Bad Friend to Us,4.19 avg rating — 6,936 ratings
Flushing Fish,3.75 avg rating — 4 ratings
Think Thin - 101 Affirmations for Losing Weight and Keeping it Off,4.29 avg rating — 7 ratings
How to Memorize Anything,3.67 avg rating — 3 ratings
Hanging on to My Dreams: Bouncing Back from All Rejections,4.32 avg rating — 19 ratings
Inner Pilgrimage: Ten Days to a Mindful Me,3.92 avg rating — 12 ratings
The Wit and Wisdom of Steve Jobs,3.86 avg rating — 50 ratings
30 Ways To Better Days...How To Rally After You've Been Dumped,3.83 avg rating — 6 ratings
Collaborate or Perish!: Reaching Across Boundaries in a Networked World,3.67 avg rating — 83 ratings
The Simple Habits of Happy People: How to Go from Sad to Glad in 21 Days or Less,4.14 avg rating — 7 ratings
Between a Rock and a Hot Place: Why Fifty Is Not the New Thirty,3.09 avg rating — 202 ratings
Health and wellbeing millionaire : what if your health and happiness are the secret to your greatest wealth?,4.33 avg rating — 3 ratings
Be the Inspiration: 7 Ways to Inspire Your World,4.18 avg rating — 22 ratings
Change Anything: The New Science of Personal Success,3.95 avg rating — 2,390 ratings
